date,close,high,low,open,volume,eur_usd,year,month,dayofweek,day_number,ma_7,ma_30,lag_1,lag_7
2015-02-13,1226.5,1232.800048828125,1222.199951171875,1222.199951171875,65,1.1381,2015,2,4,42,1233.4142892020088,1249.736661783854,1220.0999755859375,1263.800048828125
2015-02-17,1208.0999755859375,1234.0,1203.0,1227.699951171875,204,1.1415,2015,2,1,46,1225.7142857142858,1250.4733276367188,1226.5,1262.0
2015-02-18,1199.699951171875,1210.199951171875,1197.800048828125,1207.0999755859375,147,1.1372,2015,2,2,47,1220.8285609654017,1250.3333251953125,1208.0999755859375,1233.9000244140625
2015-02-19,1207.0999755859375,1220.0,1205.0,1216.5,65,1.1387,2015,2,3,48,1216.0142647879463,1249.9266560872395,1199.699951171875,1240.800048828125
2015-02-20,1204.4000244140625,1213.0999755859375,1199.0999755859375,1206.5,51,1.1298,2015,2,4,49,1212.1285574776787,1249.719991048177,1207.0999755859375,1231.5999755859375
2015-02-23,1200.300048828125,1203.300048828125,1191.5999755859375,1201.300048828125,268,1.1298,2015,2,0,52,1209.4571358816963,1249.4499918619792,1204.4000244140625,1219.0
2015-02-24,1196.9000244140625,1203.5,1193.800048828125,1203.4000244140625,151,1.1328,2015,2,1,53,1206.142857142857,1248.8133260091147,1200.300048828125,1220.0999755859375
2015-02-25,1201.0,1204.5999755859375,1201.0,1204.300048828125,570,1.1346,2015,2,2,54,1202.5,1247.756660970052,1196.9000244140625,1226.5
2015-02-26,1209.5999755859375,1219.0,1204.800048828125,1204.800048828125,560,1.1317,2015,2,3,55,1202.7142857142858,1246.9333251953126,1201.0,1208.0999755859375
2015-02-27,1212.5999755859375,1217.800048828125,1204.5,1207.699951171875,195,1.124,2015,2,4,56,1204.5571463448662,1246.2066569010417,1209.5999755859375,1199.699951171875
2015-03-02,1207.699951171875,1222.699951171875,1204.9000244140625,1214.300048828125,124,1.1227,2015,3,0,59,1204.642857142857,1244.3066569010416,1212.5999755859375,1207.0999755859375
2015-03-03,1204.0,1212.0,1195.0,1201.5,51,1.1168,2015,3,1,60,1204.5857107979912,1241.8766560872396,1207.699951171875,1204.4000244140625
2015-03-04,1200.5999755859375,1206.9000244140625,1198.0,1204.800048828125,27,1.1124,2015,3,2,61,1204.6285574776787,1238.7566569010417,1204.0,1200.300048828125
2015-03-05,1195.9000244140625,1205.4000244140625,1195.9000244140625,1201.699951171875,29,1.1069,2015,3,3,62,1204.4857003348213,1235.4966593424479,1200.5999755859375,1196.9000244140625
2015-03-06,1164.0999755859375,1195.699951171875,1163.699951171875,1195.0,168,1.0963,2015,3,4,63,1199.2142682756696,1230.9433268229166,1195.9000244140625,1201.0
2015-03-09,1166.4000244140625,1174.199951171875,1166.300048828125,1169.4000244140625,45,1.086,2015,3,0,66,1193.0428466796875,1226.736661783854,1164.0999755859375,1209.5999755859375
2015-03-10,1160.0999755859375,1168.4000244140625,1156.5,1166.4000244140625,94,1.0738,2015,3,1,67,1185.5428466796875,1222.7599934895834,1166.4000244140625,1212.5999755859375
2015-03-11,1150.699951171875,1162.0,1147.699951171875,1162.0,74,1.0578,2015,3,2,68,1177.3999895368304,1218.0599934895833,1160.0999755859375,1207.699951171875
2015-03-12,1152.0999755859375,1160.5,1149.699951171875,1155.4000244140625,63,1.0613,2015,3,3,69,1169.9857003348213,1213.599991861979,1150.699951171875,1204.0
2015-03-13,1152.5999755859375,1159.199951171875,1152.5999755859375,1158.199951171875,44,1.0572,2015,3,4,70,1163.1285574776787,1210.1999918619792,1152.0999755859375,1200.5999755859375
2015-03-16,1153.300048828125,1162.300048828125,1150.0999755859375,1159.699951171875,56,1.0557,2015,3,0,73,1157.0428466796875,1206.02666015625,1152.5999755859375,1195.9000244140625
2015-03-17,1148.300048828125,1158.199951171875,1144.300048828125,1153.5999755859375,71,1.0635,2015,3,1,74,1154.7857142857142,1201.763330078125,1153.300048828125,1164.0999755859375
2015-03-18,1151.4000244140625,1174.300048828125,1147.0,1148.699951171875,112,1.0592,2015,3,2,75,1152.642857142857,1198.1533325195312,1148.300048828125,1166.4000244140625
2015-03-19,1169.0999755859375,1171.5999755859375,1159.300048828125,1171.5999755859375,39,1.0677,2015,3,3,76,1153.9285714285713,1194.9966634114583,1151.4000244140625,1160.0999755859375
2015-03-20,1184.800048828125,1185.4000244140625,1171.0,1171.0,54,1.0776,2015,3,4,77,1158.800013950893,1192.4233317057292,1169.0999755859375,1150.699951171875
2015-03-23,1188.0,1188.0,1181.199951171875,1181.5999755859375,5,1.0912,2015,3,0,80,1163.9285888671875,1190.893330891927,1184.800048828125,1152.0999755859375
2015-03-24,1191.699951171875,1193.0,1186.0,1188.0,411,1.095,2015,3,1,81,1169.5142996651787,1189.256660970052,1188.0,1152.5999755859375
2015-03-25,1197.300048828125,1199.199951171875,1192.5,1192.5,11,1.0985,2015,3,2,82,1175.800013950893,1188.113330078125,1191.699951171875,1153.300048828125
2015-03-26,1205.0999755859375,1213.699951171875,1198.199951171875,1198.199951171875,68,1.0973,2015,3,3,83,1183.9142892020088,1187.6499959309897,1197.300048828125,1148.300048828125
2015-03-27,1199.800048828125,1199.800048828125,1196.300048828125,1197.0,172260,1.0856,2015,3,4,84,1190.828578404018,1186.9733317057292,1205.0999755859375,1151.4000244140625
2015-03-30,1184.800048828125,1198.5,1181.5999755859375,1198.0,37990,1.0845,2015,3,0,87,1193.0714460100446,1185.5833333333333,1199.800048828125,1169.0999755859375
2015-03-31,1183.0999755859375,1190.0999755859375,1178.199951171875,1185.800048828125,3409,1.0759,2015,3,1,88,1192.828578404018,1184.75,1184.800048828125,1184.800048828125
2015-04-01,1208.0999755859375,1208.199951171875,1181.0,1182.9000244140625,1632,1.0755,2015,4,2,89,1195.7000034877233,1185.0300008138022,1183.0999755859375,1188.0
2015-04-02,1200.9000244140625,1205.699951171875,1194.800048828125,1204.0,1684,1.083,2015,4,3,90,1197.0142996651787,1184.8233357747397,1208.0999755859375,1191.699951171875
2015-04-06,1218.5999755859375,1224.199951171875,1209.9000244140625,1209.9000244140625,343,1.083,2015,4,0,94,1200.0571463448662,1185.2966674804688,1200.9000244140625,1197.300048828125
2015-04-07,1210.5999755859375,1214.800048828125,1208.199951171875,1214.800048828125,406,1.0847,2015,4,1,95,1200.8428606305804,1185.639998372396,1218.5999755859375,1205.0999755859375
2015-04-08,1203.0999755859375,1211.4000244140625,1197.5999755859375,1208.9000244140625,236,1.0862,2015,4,2,96,1201.3142787388392,1185.8466634114584,1210.5999755859375,1199.800048828125
2015-04-09,1193.5999755859375,1202.5,1193.0,1201.699951171875,521,1.0774,2015,4,3,97,1202.5714111328125,1185.5999959309895,1203.0999755859375,1184.800048828125
